storage npernode wall_secs sys_secs usr_secs
STD (4) 16.67 1.53 47.19
STD (4) 11.76 1.47 32.12
STD (4) 17.06 1.59 47.39
STD (4) 16.88 1.44 46.67
STD (4) 16.94 1.61 52.49
STD (4) 24.83 1.44 70.78
STD (4) 16.63 1.46 51.23
STD (4) 24.78 1.36 86.83
STD (4) 26.61 1.50 82.21
STD (4) 25.60 1.56 65.39
AUTODELETE (4) 17.50 1.54 49.06
AUTODELETE (4) 17.86 1.31 48.03
AUTODELETE (4) 16.79 1.40 48.78
AUTODELETE (4) 16.81 1.42 54.42
AUTODELETE (4) 16.80 1.58 45.71
AUTODELETE (4) 18.03 1.41 49.02
ARCHIVE (4) 10.33 1.48 31.87
ARCHIVE (4) 10.82 1.42 31.08
ARCHIVE (4) 10.49 1.46 30.55
ARCHIVE (4) 10.72 1.47 30.52
ARCHIVE (4) 10.71 1.50 30.28
ARCHIVE (4) 10.74 1.55 30.60
TMP (4) 163.70 1.35 641.76
TMP (4) 28.12 1.30 103.73
TMP (4) 43.48 1.23 164.29
TMP (4) 36.33 1.35 136.45
TMP (4) 576.34 1.43 2291.55
STD (4) 17.66 1.51 48.15
AUTODELETE (4) 17.29 1.51 48.04
ARCHIVE (4) 9.46 1.45 31.09
STD (4) 16.81 1.46 53.15
AUTODELETE (4) 16.93 1.48 53.98
ARCHIVE (4) 9.68 1.54 30.74
STD (4) 16.92 1.51 45.27
AUTODELETE (4) 16.94 1.47 49.23
ARCHIVE (4) 9.48 1.51 30.62
STD (4) 25.33 1.41 82.73
AUTODELETE (4) 17.15 1.55 49.61
ARCHIVE (4) 9.41 1.50 30.75
STD (4) 25.11 1.51 79.32
AUTODELETE (4) 16.84 1.54 48.71
ARCHIVE (4) 9.27 1.45 30.84
STD (4) 18.16 1.53 52.88
AUTODELETE (4) 25.30 1.54 82.21
ARCHIVE (4) 9.44 1.47 31.44
STD (4) 24.89 1.39 81.45
STD (8) 5.36 4.18 19.14
AUTODELETE (8) 2.91 0.06 0.04
ARCHIVE (8) 1.53 0.08 0.03
STD (8) 44.15 3.78 255.38
AUTODELETE (8) 28.12 3.65 168.84
ARCHIVE (8) 7.51 4.00 42.52
STD (8) 43.71 3.78 254.64
AUTODELETE (8) 27.62 4.18 161.07
ARCHIVE (8) 7.04 4.13 40.71
STD (8) 27.23 4.20 161.84
AUTODELETE (8) 27.72 3.72 165.22
ARCHIVE (8) 8.05 3.72 43.60
STD (8) 27.17 3.77 159.66
AUTODELETE (8) 27.64 3.70 165.90
ARCHIVE (8) 7.77 3.76 41.03
STD (8) 45.95 3.49 274.58
AUTODELETE (8) 27.15 4.18 154.44
ARCHIVE (8) 6.98 4.17 40.35
STD (8) 44.68 3.80 286.62
AUTODELETE (8) 27.67 4.24 152.04
ARCHIVE (8) 7.59 4.10 42.57
STD (8) 27.70 4.21 160.43
AUTODELETE (8) 28.26 3.80 159.33
ARCHIVE (8) 7.46 3.79 40.47
STD (8) 46.22 3.72 265.42
AUTODELETE (8) 27.64 4.27 162.28
ARCHIVE (8) 7.50 3.71 40.88
STD (4) 26.01 1.55 68.30
AUTODELETE (4) 26.72 1.46 89.79
ARCHIVE (4) 9.80 1.50 30.90
STD (4) 16.99 1.52 46.44
AUTODELETE (4) 25.90 1.43 87.49
ARCHIVE (4) 9.37 1.50 30.99
STD (4) 17.17 1.46 48.74
AUTODELETE (4) 17.02 1.57 47.84
ARCHIVE (4) 10.06 1.44 30.22
STD (4) 17.54 1.53 52.97
AUTODELETE (4) 26.04 1.47 81.46
ARCHIVE (4) 9.57 1.49 31.38
STD (4) 16.83 1.54 46.39
AUTODELETE (4) 25.27 1.43 86.86
ARCHIVE (4) 9.90 1.46 29.98
STD (4) 17.81 1.50 51.40
AUTODELETE (4) 17.75 1.64 48.77
ARCHIVE (4) 9.39 1.50 30.96
STD (4) 16.87 1.56 44.42
AUTODELETE (4) 17.49 1.61 47.36
ARCHIVE (4) 9.16 1.50 30.08
STD (4) 17.02 1.47 45.86
AUTODELETE (4) 25.28 1.46 81.95
ARCHIVE (4) 9.41 1.56 30.76
STD (16) 53.67 12.70 643.44
AUTODELETE (16) 83.38 12.17 1117.68
ARCHIVE (16) 7.42 12.79 77.36
STD (16) 52.50 12.23 644.21
AUTODELETE (16) 55.85 12.74 648.25
ARCHIVE (16) 7.24 11.78 72.04
STD (16) 53.04 11.47 665.58
AUTODELETE (16) 52.73 10.87 661.92
ARCHIVE (16) 7.49 11.83 72.53
STD (16) 52.99 11.72 659.91
AUTODELETE (16) 53.23 11.79 671.37
ARCHIVE (16) 7.39 12.13 77.80
STD (16) 53.37 12.10 671.91
AUTODELETE (16) 52.78 12.23 676.10
ARCHIVE (16) 7.49 11.50 77.62
STD (16) 56.40 11.79 756.46
AUTODELETE (16) 57.31 11.77 752.91
ARCHIVE (16) 7.56 12.56 77.39
STD (16) 53.00 12.57 616.57
AUTODELETE (16) 57.19 11.86 700.23
ARCHIVE (16) 6.84 12.07 69.57
STD (16) 57.61 11.89 682.24
AUTODELETE (16) 52.52 12.53 645.79
ARCHIVE (16) 7.54 9.04 74.72
STD (4) 17.39 1.53 47.62
AUTODELETE (4) 27.13 1.46 87.12
ARCHIVE (4) 9.70 1.57 29.97
STD (4) 26.48 1.53 66.28
AUTODELETE (4) 17.17 1.66 47.78
ARCHIVE (4) 11.14 1.55 30.16
STD (4) 27.34 1.51 80.87
AUTODELETE (4) 19.17 1.49 52.33
ARCHIVE (4) 10.41 1.63 31.05
STD (4) 19.06 1.47 47.49
AUTODELETE (4) 17.49 1.45 47.29
ARCHIVE (4) 10.58 1.47 30.12
STD (4) 18.99 1.66 46.42
AUTODELETE (4) 18.20 1.50 46.91
ARCHIVE (4) 11.61 1.42 30.61
STD (4) 17.19 1.59 54.44
AUTODELETE (4) 18.04 1.46 53.20
ARCHIVE (4) 9.32 1.43 30.42
STD (4) 17.01 1.45 54.43
AUTODELETE (4) 19.03 1.46 46.85
ARCHIVE (4) 11.90 1.42 30.40
STD (4) 26.98 1.50 67.88
AUTODELETE (4) 17.25 1.42 58.15
ARCHIVE (4) 9.41 1.49 30.75
STD (8) 27.36 4.20 163.51
AUTODELETE (8) 44.51 3.73 287.77
ARCHIVE (8) 7.36 4.05 40.44
STD (8) 44.44 3.68 258.75
AUTODELETE (8) 27.56 3.46 176.45
ARCHIVE (8) 7.45 3.65 41.30
STD (8) 27.27 3.68 153.10
AUTODELETE (8) 28.62 3.77 156.60
ARCHIVE (8) 6.99 3.74 41.25
STD (8) 74.90 3.71 440.43
AUTODELETE (8) 28.15 3.77 163.07
ARCHIVE (8) 7.01 3.82 40.87
STD (8) 43.64 3.73 292.16
AUTODELETE (8) 44.03 4.20 257.48
ARCHIVE (8) 7.34 3.70 40.84
STD (8) 43.82 3.74 257.50
AUTODELETE (8) 44.14 3.72 308.37
ARCHIVE (8) 7.17 3.70 41.51
STD (8) 44.40 2.79 294.43
AUTODELETE (8) 27.61 3.64 149.29
ARCHIVE (8) 7.29 4.12 40.99
STD (8) 43.84 3.78 262.51
AUTODELETE (8) 27.64 4.27 155.77
ARCHIVE (8) 7.48 3.73 41.00
STD (4) 25.35 1.48 66.61
AUTODELETE (4) 17.57 1.46 47.97
ARCHIVE (4) 9.69 1.40 30.86
STD (4) 17.73 1.54 49.39
AUTODELETE (4) 16.81 1.40 48.73
ARCHIVE (4) 9.20 1.43 30.33
STD (4) 25.09 1.55 81.56
AUTODELETE (4) 25.57 1.54 87.48
ARCHIVE (4) 9.43 1.44 30.66
STD (4) 17.11 1.40 46.42
AUTODELETE (4) 17.63 1.35 49.74
ARCHIVE (4) 9.63 1.60 30.82
STD (4) 16.74 1.46 50.42
AUTODELETE (4) 17.08 1.37 47.71
ARCHIVE (4) 9.22 1.44 30.21
STD (4) 16.74 1.48 46.42
AUTODELETE (4) 16.80 1.59 45.46
ARCHIVE (4) 9.49 1.58 30.40
STD (4) 25.33 1.45 73.94
